objectid,parentid,title,date,description,subject,location,creator,latitude,longitude,source,digital_collection,identifier,language,rights,rightsstatement,format_original,type,format,filename,display_template,object_location,image_small,image_thumb
watkins10,,St. Lawrence Mine 800 ft. level West [no. 1180],1890,St. Lawrence 800 level West Ore 40 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1180,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1180.jpg,image,/objects/89-1180.jpg,/objects/small/89-1180_sm.jpg,/objects/thumbs/89-1180_th.jpg
watkins11,,Anaconda Mine 1000 ft. level East [no. 1164],1890,Anaconda Mine 1000 level East. Wealth of ore 45 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1164,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1164.jpg,image,/objects/89-1164.jpg,/objects/small/89-1164_sm.jpg,/objects/thumbs/89-1164_th.jpg
watkins12,,St. Lawrence Mine 800 ft. level West [no. 1182],1890,St. Lawrence 800 level West Ore 40 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1182,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1182.jpg,image,/objects/89-1182.jpg,/objects/small/89-1182_sm.jpg,/objects/thumbs/89-1182_th.jpg
watkins13,,St. Lawrence Mine 700 ft. level East [no. 1183],1890,St. Lawrence 700 level East Ore 36 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1183,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1183.jpg,image,/objects/89-1183.jpg,/objects/small/89-1183_sm.jpg,/objects/thumbs/89-1183_th.jpg
watkins14,,St. Lawrence Mine 700 ft. level East [no. 1184],1890,St. Lawrence 700 level East Ore 36 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1184,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1184.jpg,image,/objects/89-1184.jpg,/objects/small/89-1184_sm.jpg,/objects/thumbs/89-1184_th.jpg
watkins15,,St. Lawrence Mine 800 ft. level East [no. 1185],1890,St. Lawrence 800 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1185,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1185.jpg,image,/objects/89-1185.jpg,/objects/small/89-1185_sm.jpg,/objects/thumbs/89-1185_th.jpg
watkins16,,St. Lawrence Mine Pump Station 400' level [no. 1186],1890,St. Lawrence Pump Station 400 level,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1186,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1186.jpg,image,/objects/89-1186.jpg,/objects/small/89-1186_sm.jpg,/objects/thumbs/89-1186_th.jpg
watkins17,,St. Lawrence Mine 600 ft. level East [no. 1187],1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1187,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1187.jpg,image,/objects/89-1187.jpg,/objects/small/89-1187_sm.jpg,/objects/thumbs/89-1187_th.jpg
watkins18,,St. Lawrence Mine 600 ft. level East [no. 1188],1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1188,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1188.jpg,image,/objects/89-1188.jpg,/objects/small/89-1188_sm.jpg,/objects/thumbs/89-1188_th.jpg
watkins19,,St. Lawrence Mine 600 ft. level East [no. 1189],1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1189,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1189.jpg,image,/objects/89-1189.jpg,/objects/small/89-1189_sm.jpg,/objects/thumbs/89-1189_th.jpg
watkins20,,St. Lawrence Mine 600 ft. level East [no. 1190],1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1190,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1190.jpg,image,/objects/89-1190.jpg,/objects/small/89-1190_sm.jpg,/objects/thumbs/89-1190_th.jpg
watkins21,,St. Lawrence Mine 600 ft. level East [no. 1191],1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1191,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1191.jpg,image,/objects/89-1191.jpg,/objects/small/89-1191_sm.jpg,/objects/thumbs/89-1191_th.jpg
watkins22,,Anaconda Mine 1000 ft. level East [no. 1165],1890,Anaconda Mine 1000 level East. Wealth of ore 45 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1165,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1165.jpg,image,/objects/89-1165.jpg,/objects/small/89-1165_sm.jpg,/objects/thumbs/89-1165_th.jpg
watkins23,,St. Lawrence Mine 600 ft. level East [no. 1192],1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1192,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1192.jpg,image,/objects/89-1192.jpg,/objects/small/89-1192_sm.jpg,/objects/thumbs/89-1192_th.jpg
watkins24,,High Ore Mine 400 ft. level [no. 1193],1890,High ore 400 ft. level Housing Station,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1193,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1193.jpg,image,/objects/89-1193.jpg,/objects/small/89-1193_sm.jpg,/objects/thumbs/89-1193_th.jpg
watkins25,,High Ore Mine 600 ft. level [no. 1194],1890,High ore 600 level Pump Station,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1194,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1194.jpg,image,/objects/89-1194.jpg,/objects/small/89-1194_sm.jpg,/objects/thumbs/89-1194_th.jpg
watkins26,,High Ore Mine 500 ft. level [no. 1195],1890,High ore 500 ft. level Housing Station,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1195,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1195.jpg,image,/objects/89-1195.jpg,/objects/small/89-1195_sm.jpg,/objects/thumbs/89-1195_th.jpg
watkins27,,High Ore Mine 400 ft. level West [no. 1196],1890,High ore 400 ft. level West Showing bulkheading in 1st floor and miner ascending to 2nd floor with hose for drilling machine,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1196,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1196.jpg,image,/objects/89-1196.jpg,/objects/small/89-1196_sm.jpg,/objects/thumbs/89-1196_th.jpg
watkins28,,High Ore Mine 300 ft. level East [no. 1197],1890,High ore 300 ft. level East Showing men and drilling machine on fourth floor drilling air on breast,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1197,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1197.jpg,image,/objects/89-1197.jpg,/objects/small/89-1197_sm.jpg,/objects/thumbs/89-1197_th.jpg
watkins29,,High Ore Mine 200 ft. level West [no. 1198],1890,High ore 200 ft. level West Showing face of drift. Timber and lagging,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1198,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1198.jpg,image,/objects/89-1198.jpg,/objects/small/89-1198_sm.jpg,/objects/thumbs/89-1198_th.jpg
watkins30,,High Ore Mine 600 ft. level East [no. 1199],1890,High ore 600 level East Showing ore in breasts,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1199,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1199.jpg,image,/objects/89-1199.jpg,/objects/small/89-1199_sm.jpg,/objects/thumbs/89-1199_th.jpg
watkins31,,High Ore Mine 600 ft. level West [no. 1200],1890,High ore 600 level West Showing miner wheeling ore to chutes Ore 10 ft,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1200,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1200.jpg,image,/objects/89-1200.jpg,/objects/small/89-1200_sm.jpg,/objects/thumbs/89-1200_th.jpg
watkins32,,High Ore Mine 300 ft. level East [no. 1201],1890,High ore 300 level East Showing drilling machine and bar erected for drilling ore breast,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1201,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1201.jpg,image,/objects/89-1201.jpg,/objects/small/89-1201_sm.jpg,/objects/thumbs/89-1201_th.jpg
watkins33,,Anaconda Mine 1000 ft. level East [no. 1166],1890,Anaconda Mine 1000 level East. Wealth of ore 45 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1166,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1166.jpg,image,/objects/89-1166.jpg,/objects/small/89-1166_sm.jpg,/objects/thumbs/89-1166_th.jpg
watkins34,,High Ore Mine 400 ft. level East [no. 1202],1890,High ore 400 level East Showing ore after blast ore 15 ft,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.02388889,-112.5197222,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1202,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1202.jpg,image,/objects/89-1202.jpg,/objects/small/89-1202_sm.jpg,/objects/thumbs/89-1202_th.jpg
